Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.32904015516139,9.02990102416136,8.73914352329393,3.44637335032669,3.66485028376729,3.73297621216894,3.21176803803376,8.30165975585673,9.28010608956873,4.59356282283204
Brazil,BRA,Consumer price index (2010 = 100),FP.CPI.TOTL,126.927212865611,138.388614560102,150.482594206408,155.668786230018,161.373814183906,167.397860280061,172.774291252888,187.117425058296,204.482120615775,213.87513528772
Brazil,BRA,Real interest rate (%),FR.INR.RINR,22.403672441435,33.832343966101,40.6983614489962,41.7138078720244,33.1023342480424,31.9030727508498,21.1971796870516,15.0108849661413,28.3960928277404,37.2075093316886
Brazil,BRA,Lending interest rate (%),FR.INR.LEND,32.0083333333333,43.9583333333333,52.1,46.9166666666667,39.0833333333333,37.475,29.0416666666667,30.0166666666667,39.4,43.6
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.92164162788521,1.43702380935655,2.00000182191943,1.59313600071436,2.07479039965576,2.89923416358227,2.41942189457782,0.981015135544882,1.97357555739051,0.234836828893051
China,CHN,Consumer price index (2010 = 100),FP.CPI.TOTL,113.294060199837,114.922122819495,117.220567369674,119.088050428682,121.558877866113,125.083154382075,128.109443605623,129.366216637457,131.919356668535,132.229151902431
China,CHN,Real interest rate (%),FR.INR.RINR,4.52230843210213,4.35307225217325,2.90181538908108,0.112553973046852,0.821501871986205,3.02438482052273,3.83860120447208,-0.193517050835666,2.51931098031913,4.91187623545216
China,CHN,Lending interest rate (%),FR.INR.LEND,5.6,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.50775882293799,0.0375143805125182,0.18333486112386,1.03228275064662,1.85081508315502,1.10825492288294,0.476498852725066,1.64233141038385,5.22236748369735,4.87835726508441
France,FRA,Consumer price index (2010 = 100),FP.CPI.TOTL,105.539425293424,105.579017755019,105.772580900596,106.864453008147,108.842316422953,110.04856675289,110.572946910908,112.388921149413,118.258283622798,124.027345193475
France,FRA,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
France,FRA,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.906794000434246,0.514426137125456,0.491747008445174,1.50949485109628,1.73216879766942,1.44565976888253,0.144877925813982,3.06666666666673,6.87257438551097,5.94643667725823
Germany,DEU,Consumer price index (2010 = 100),FP.CPI.TOTL,106.650549555164,107.199187857464,107.72633665683,109.35246016194,111.246629356349,112.854877121191,113.018378926344,116.484275880086,124.489744387368,131.892448207044
Germany,DEU,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.66565671867899,4.90697344127256,4.94821634062141,3.32817337461298,3.9388264669163,3.72950573539129,6.62343677628535,5.13140747176369,6.69903414079852,5.64914318907925
India,IND,Consumer price index (2010 = 100),FP.CPI.TOTL,139.924446113916,146.790501522574,154.054013105394,159.18119775209,165.451068899504,171.621576003377,182.988822584425,192.378724699015,205.266241146235,216.862025027426
India,IND,Real interest rate (%),FR.INR.RINR,6.69517609046494,7.55648841355898,6.23271141476385,5.32760886239731,5.36166638957659,6.89487542725514,4.13599957789666,0.316945144179775,1.70461092852253,..
India,IND,Lending interest rate (%),FR.INR.LEND,10.25,10.0083333333333,9.6725,9.50833333333333,9.45416666666667,9.46625,9.15,8.69833333333333,8.56714285714286,..
